,ID,volume (voxel counting),Sphericity,Surface area (mesh),Skewness,Minimum Intensity,Mean,Maximum Intensity,Kurtosis,Correlat,Contrast,AngScMom,Entropy,GLCM difference average,InvDfMom,NGTDM coarseness,NGTDM contrast,NGTDM busyness,ShrtREmp,LngREmph,GLRLM Low Gray Level Run Emphasis,GLRLM High Gray Level Run Emphasis,GLRLM Short Run Low Gray Level Emphasis,GLRLM Short Run High Gray Level Emphasis,GLRLM Long Run Low Gray Level Emphasis,GLRLM Long Run High Gray Level Emphasis,GlevNonU,RLNonUni,GLRLM Run Percentage
0,R01-109,0,0,0,0.07129632,0,33321.613,0,-1.2453065,0.4,0.4,0.4,0.4,0,0.4,0,0,0,2.91570885,28,0,0,0,0,0,0,443.71775,0.0221106865,0
0,R01-110,0,0,0,-0.2705272,0,33497.731,0,-1.311001,0.44777259,0.502072898,0.501424322,0.468690944,0,0.482736044,0,0,0,6.9053846,27.5576925,0,0,0,0,0,0,47.2565385,0.325557685,0
0,R01-111,0,0,0,-1.056554,0,33612.455,0,-0.47799586,0.477958792,0.482017002,0.48967641,0.44722465,0,0.453556306,0,0,0,24.184025,65.932534,0,0,0,0,0,0,14.6151875,0.38317901,0
0,R01-112,0,0,0,-2.3030512,0,33728.308,0,4.3693537,0.447181336,0.452528922,0.474734922,0.44837015,0,0.430239692,0,0,0,333.621635,666.40937,0,0,0,0,0,0,15.3897735,0.49083421,0
0,R01-113,0,0,0,0.91491351,0,33221.516,0,-0.093592305,0.504237138,0.5249197396,0.514001745,0.47888433,0,0.50429543,0,0,0,11.7500359,64.2721545,0,0,0,0,0,0,119.403475,0.261260525,0
0,R01-114,0,0,0,-1.2647048,0,33621.878,0,0.10070262,0.477455544,0.489784514,0.495963392,0.463077896,0,0.48276687,0,0,0,172.35412,438.090725,0,0,0,0,0,0,28.9458415,0.413749775,0
0,R01-115,0,0,0,-1.3937519,0,33668.095,0,0.7011882,0.45263806,0.480064426,0.479414976,0.437686336,0,0.443393954,0,0,0,15.2530685,30.397136,0,0,0,0,0,0,11.6168905,0.393939215,0
0,R01-116,0,0,0,0.13997991,0,33347.634,0,-1.5103058,0.481256114,0.509276416,0.492869278,0.461901382,0,0.472222162,0,0,0,5.48066875,17.45977,0,0,0,0,0,0,20.323929,0.2966782,0
0,R01-117,0,0,0,0.66533651,0,33009.444,0,-0.28138978,0.4,0.4,0.4,0.4,0,0.4,0,0,0,6,6,0,0,0,0,0,0,36,0.027777778,0
0,R01-118,0,0,0,-0.72125679,0,33519.051,0,-1.1342208,0.48246669,0.481664244,0.485085184,0.455283984,0,0.46519901,0,0,0,136.81708,306.261175,0,0,0,0,0,0,30.711771,0.44170017,0
0,R01-119,0,0,0,-0.73391438,0,33550.258,0,-0.86964461,0.469852638,0.488388534,0.490544304,0.460696234,0,0.481573298,0,0,0,95.0350365,245.581105,0,0,0,0,0,0,24.465082,0.40594536,0
0,R01-120,0,0,0,0.48397139,0,33214.543,0,-0.26580506,0.4451269,0.4681039616,0.4680660668,0.398920735,0,0.427163807,0,0,0,3.88494205,23.558301,0,0,0,0,0,0,68.4146715,0.26934699,0
0,R01-121,0,0,0,-1.6199362,0,33725.518,0,2.007863,0.4344926944,0.440863322,0.48592924,0.436342906,0,0.435110708,0,0,0,75.871374,146.530175,0,0,0,0,0,0,13.16044635,0.460730185,0
0,R01-122,0,0,0,0.5169181,0,33298.622,0,-1.1465769,0.484497178,0.5111637,0.50992648,0.453472232,0,0.478223024,0,0,0,8.07252745,36.29011,0,0,0,0,0,0,36.303846,0.229933865,0
0,R01-123,0,0,0,0.19942266,0,33210.202,0,-1.2114388,0.4,0.4,0.4,0.4,0,0.4,0,0,0,5.0175439,20,0,0,0,0,0,0,290.929825,0.00459000625,0
0,R01-124,0,0,0,-1.1655024,0,33621.125,0,-0.051934519,0.461900488,0.46702059,0.479997646,0.430745257,0,0.437209108,0,0,0,21.9979295,45.8447205,0,0,0,0,0,0,11.9953415,0.472351425,0
0,R01-125,0,0,0,-1.375512,0,33678.297,0,0.5928443,0.455524492,0.484435526,0.488163758,0.434359226,0,0.46588985,0,0,0,16.141217,35.1898965,0,0,0,0,0,0,16.5954075,0.41027814,0
0,R01-126,0,0,0,0.81539717,0,33157.623,0,-0.69660924,0.461288814,0.482993874,0.5245909234,0.468098068,0,0.475569382,0,0,0,5.0558867,31.987705,0,0,0,0,0,0,77.433122,0.19043621,0
0,R01-127,0,0,0,0.26682932,0,271.45294,0,-0.70484602,1.5844370614,1.2471430192,0.99299388,1.5239839628,0,1.1574935062,0,0,0,80.418941,15.660816,0,0,0,0,0,0,2.4150335,0.81826029,0
0,R01-128,0,0,0,0.88342189,0,33220.743,0,0.84208806,0.4,0.4,0.4,0.4,0,0.4,0,0,0,3.24675325,21.5,0,0,0,0,0,0,320.38961,0.0041991262,0
0,R01-129,0,0,0,-0.49296791,0,33546.722,0,-1.2036533,0.48172804,0.503076298,0.476033346,0.4803614,0,0.484578866,0,0,0,71.5008035,152.30986,0,0,0,0,0,0,32.8272935,0.479756915,0
0,R01-131,0,0,0,0.80494942,0,33183.602,0,-0.380047,0.443324995,0.489733429,0.47592078,0.4148289596,0,0.471125118,0,0,0,7.40141795,53.4784255,0,0,0,0,0,0,169.998655,0.23686816,0
0,R01-132,0,0,0,0.85447904,0,33285.758,0,-0.34851004,0.5453017528,0.5453152606,0.5621268226,0.5226466628,0,0.534009957,0,0,0,3.8539216,41.127451,0,0,0,0,0,0,623.785295,0.0379773785,0
0,R01-133,0,0,0,1.4558501,0,314.38017,0,2.4303633,2.127368534,1.6109955972,1.2214802158,2.2313451548,0,1.906063232,0,0,0,51.5142855,10.04047635,0,0,0,0,0,0,2.5980159,0.7960032,0
0,R01-134,0,0,0,-0.0081080695,0,33426.604,0,-0.81496011,0.462254518,0.45310953,0.50437834,0.462433306,0,0.436200814,0,0,0,9.83423405,22.091892,0,0,0,0,0,0,30.658258,0.41196604,0
0,R01-135,0,0,0,-0.14819193,0,33458.032,0,-1.3558266,0.486068372,0.515066332,0.506924448,0.473987908,0,0.502551102,0,0,0,30.613587,111.46897,0,0,0,0,0,0,38.5292915,0.34181482,0
0,R01-136,0,0,0,0.22467769,0,531.78873,0,-0.94342066,1.6474373108,1.4529729924,1.1010327814,1.7810285452,0,1.7577360258,0,0,0,534.96506,63.264703,0,0,0,0,0,0,2.4405609,0.802908475,0
0,R01-137,0,0,0,0.98618507,0,329.62518,0,0.8283847,3.5932134048,2.764762783,1.9172435044,3.89844197172,0,3.2694602406,0,0,0,765.348585,95.2727345,0,0,0,0,0,0,1.92015995,0.85772709,0
0,R01-138,0,0,0,-1.4241713,0,867.29477,0,0.60814365,3.051046161,2.9158018274,2.1140014336,3.9745406566,0,4.5819558666,0,0,0,150.751435,30.019354,0,0,0,0,0,0,3.1199333,0.801299,0
0,R01-139,0,0,0,-0.78567513,0,33594.93,0,-0.92426245,0.494359996,0.497486356,0.513298468,0.492671632,0,0.491254586,0,0,0,112.44334,279.28763,0,0,0,0,0,0,43.797298,0.43904045,0
0,R01-140,0,0,0,-2.0189752,0,33704.875,0,3.369071,0.4069866534,0.4208314098,0.457861164,0.4236076912,0,0.437243264,0,0,0,136.080201,214.899645,0,0,0,0,0,0,7.5118594,0.54459,0
0,R01-141,0,0,0,-0.25932057,0,33521.232,0,-1.19596,0.475620368,0.49202863,0.515127498,0.478422578,0,0.477522996,0,0,0,9.44285715,29.2146255,0,0,0,0,0,0,21.8411565,0.336745635,0
0,R01-142,0,0,0,-0.4359581,0,773.46495,0,-0.75071967,2.71802714904,2.28327672686,1.75391448056,2.73776921634,0,2.33086270458,0,0,0,1033.10821,93.37469,0,0,0,0,0,0,1.6496679,0.88161542,0
0,R01-144,0,0,0,0.36830467,0,33328.185,0,-1.1925684,0.466094256,0.467188048,0.505341,0.462759804,0,0.457930422,0,0,0,14.45,61.94,0,0,0,0,0,0,56.074,0.30932706,0
0,R01-145,0,0,0,0.89135124,0,492.05398,0,0.0795002,4.28263072834,2.80283966044,2.91275903102,5.9203365179,0,4.32795629408,0,0,0,680.773075,63.873968,0,0,0,0,0,0,1.6932478,0.874791275,0
0,R01-146,0,0,0,-2.0578947,0,33779.665,0,3.2944814,0.560662988,0.5627380496,0.5648037946,0.5440824276,0,0.5482131962,0,0,0,10.9527719,95.8824155,0,0,0,0,0,0,605.60633,0.16700741,0
